FacilityName,StreetAddress
Diaz Recycling,2517 E Fremont St
Salinas Recycling,3706 McCall Ave
Go Green Recycling Inc,2214 Robindale Ave
Perez Recycling II,17068 Rd 26
Diaz Recycling,548 S Sacramento St
Anderson Recycle Center,35442 Highway 41
BC Recycling,1145 Park Blvd
San Benito Recycling,10 4th St
Farmers Country Market,7672 Greenback Ln
Recycle OXBA,3053 E Shields Ave
Mings Recycling Corp,3316 47th Ave
Mammoth Disposal Recycling,59 Commerce Dr
Turlock Recycling,1020 S Walnut Rd
Cal Sierra Recycling,14959 Camage Ave
One Stop Recycling,810 B East St
AMD Recycling,150 Howson St
AMD Recycling Inc,324 Kings St
D C Metals,6849 28th St
Blue Line Transfer Inc,500 E Jamie Ct
Clovis Recycling Center,710 Jefferson Ave
Bairos Recycling Inc,2788 S Orange Ave
Browns Supply Inc,219 Wye Rd
Stockton Recycling Center,1533 Waterloo Rd
Fresno Recycling,1701 S Orange Ave
Danny Recycling Center,1745 Walsh Ave
Sunshine Steel Enterprises Corp,8265 Belvedere Ave
Allan Co,2607 E Woodward St
Mountain View Recycling Center,935 Terra Bella Ave
Penas Recycling Center,12094 Avenue 408
F & T Recycling,29424 Auberry Rd
The Buy Back,669 Gilman St
Dinuba Recycle Center,267 S Uruapan Way
Yolo Employment Services,660 6th St
Western Metal Co,2910 S Cherry Ave
Manor Market,3100 W Line St
Schnitzer Steel Industries Inc,12000 Folsom Blvd
Levis Iron and Metal Inc,2727 S Chestnut Ave
El Dorado Disposal,4421 Latrobe Road
National Recycling Corp,1312 Kirkham St
Solano Garbage Co,2901 Industrial Ct
Vacaville Sanitary Service Recycling Center,855 1/2 Davis St
Recology Dixon,302 N 1st St
Ceres Recycling Center,3940 Moffett Rd
H and B Recycling,521 S Stanislaus St
A & S Metals,11340 Commercial Pkwy
A & S Metals,1616 Angelo Way
West County Resource Recovery,101 Pittsburg Ave
A & S Metals,456 Brunken Ave
Brogard Inc,470 Caletti Ave
J J Recycling,23519 Robertson Blvd
Mid Valley Recycling,1520 Meredith Ave
Brunos Iron and Metal LP,3211 S Golden State Blvd
Mariposa County Landfill Recycling Center,5593 Highway 49 N
J and M Recycling Inc,2205 Rice Ave
A 1 Recycling #2,2259 W Tahoe St
Recycling Zone Inc,4989B Peabody Rd
Universal Service Recycling Merced Inc,450 N Tower Rd
El Dorado Disposal Service,580 Truck St
El Dorado Disposal Service,3510 Palmer Dr
S & D Recycling,1149 Kansas Ave
Mid Valley Recycling,9900 Stephens St
Universal Recycling Service Inc,3200 S El Dorado St
Clovis Recycling,1059 Hoblitt Ave
J L Recycling,731 Poplar Ave
Marias Recycling Center,21813 Highway 33
J L Recycling,7547 Watt Ave
Diaz Recycling,6011 N El Dorado St
Salinas Recycling,1368 Church St
American Iron & Metals,1050 Brookside Dr
Bay Counties Waste Services Inc,301 Carl Rd
GL Perez Inc,625 N Gateway Dr
Buy Back Inc,1405 W Shields Ave
Go Green Recycling Inc,45 W Grantline Rd
EOC Local Conservation Corps Recycling at Friant Trading Post,17108 N Friant Rd
Riverbank Recycling,2780 C Patterson Rd
Valley Springs Recycling,148 Main St
Brambila Recycling,2330 BROADWAY
J & D Recycling,1015 N Amphlett Blvd
Allan Co,2525 S Sunland Ave
Los Botis Recycling,1217 9TH ST
Go Green Recycling,1803 S STOCKTON ST
Capital City Recycling Inc,3185 LONGVIEW DR UNIT C
Go Green Recycling Inc,1600 MCCORMICK ST
Recycling of Reedley,920 N Alta Ave
